FixtureID,Team1,Team2,Yes,%Yes,No,%No
443,Tottenham,Everton,1.55,58.45,2.10,41.55
438,Fulham,Newcastle,1.50,59.52,2.10,40.48
442,Southampton,Huddersfield,1.70,52.38,1.85,47.62
437,Crystal Palace,Bournemouth,1.45,62.74,2.30,37.26
444,Watford,West Ham,1.40,64.88,2.40,35.12
439,Leicester,Chelsea,1.45,62.26,2.25,37.74
436,Burnley,Arsenal,1.40,64.88,2.40,35.12
435,Brighton,Manchester City,2.00,43.75,1.60,56.25
440,Liverpool,Wolves,1.90,46.01,1.65,53.99
441,Manchester United,Cardiff,1.65,53.99,1.90,46.01
